index,timestamp,user,service,message,year,month,day,hour,minute,second,microsecond,timezone
33,2024-08-04 10:09:52.681365+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,"Max clients allowed: 256, resource mask: 0x1fffff",2024,8,4,10,9,52,681365,UTC+05:30
34,2024-08-04 10:09:52.681507+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,"The directory ""/usr/share/fonts/X11/cyrillic"" does not exist.",2024,8,4,10,9,52,681507,UTC+05:30
35,2024-08-04 10:09:52.681693+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,deleted from font path.,2024,8,4,10,9,52,681693,UTC+05:30
36,2024-08-04 10:09:52.681852+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,"The directory ""/usr/share/fonts/X11/100dpi/"" does not exist.",2024,8,4,10,9,52,681852,UTC+05:30
37,2024-08-04 10:09:52.682175+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,deleted from font path.,2024,8,4,10,9,52,682175,UTC+05:30
38,2024-08-04 10:09:52.682327+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,"The directory ""/usr/share/fonts/X11/75dpi/"" does not exist.",2024,8,4,10,9,52,682327,UTC+05:30
39,2024-08-04 10:09:52.682517+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,deleted from font path.,2024,8,4,10,9,52,682517,UTC+05:30
40,2024-08-04 10:09:52.682680+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,"The directory ""/usr/share/fonts/X11/100dpi"" does not exist.",2024,8,4,10,9,52,682680,UTC+05:30
41,2024-08-04 10:09:52.682856+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,deleted from font path.,2024,8,4,10,9,52,682856,UTC+05:30
42,2024-08-04 10:09:52.682991+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,"The directory ""/usr/share/fonts/X11/75dpi"" does not exist.",2024,8,4,10,9,52,682991,UTC+05:30
43,2024-08-04 10:09:52.683215+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,deleted from font path.,2024,8,4,10,9,52,683215,UTC+05:30
44,2024-08-04 10:09:52.683354+05:30,pranay,/usr/libexec/gdm-x-session[1758]:,FontPath set to:,2024,8,4,10,9,52,683354,UTC+05:30
